,Date,Tweets
22,2020-05-19 09:06:27+00:00,"My first #NFT that I purchased was CryptoPunk. 🙏

Read more about why people believe in such project and what we can expect from CryptoPunks in the future. @larvalabs 

What was your very first #NFT you purchased or maybe won? https://t.co/LhIGYjbHxu"
23,2020-05-16 22:14:18+00:00,"What a crazy w/e!
Koshkat sold for $10.500 &amp; Cryptopunk Zombie/Beanie for 60 ETH ($12.000)!
Who will win in the end? Kitties or Punks? Or maybe they'll combine into KittyPunks? 🐱🧟⬇️
https://t.co/3FtXgW6sHI
#CryptoKitties #Cryptopunks #NFTs @dapper_labs @niftygateway @larvalabs https://t.co/VgJNj6vmBy"
24,2020-04-27 17:34:29+00:00,Wearing my @CryptoKaijuIO patch as my entire outfit. Huge shoutout to @Pointshark1 for creating my CryptoPunk in @cryptovoxels brand consistency is key. #NFT #Ethereum #Voxels @BlockchainArt https://t.co/LbN5wSyVK2
25,2020-04-24 17:26:51+00:00,My CryptoPunk was feeling a bit down that the new kid on the block is getting all the attention. So @WGMeets suited him up for me in a spankin new @AvaStarsNFT Space Suit and his art as a background! #NFT #OnChain #BlockchainArt #Ethereum https://t.co/D0B1JwcVHy
26,2020-04-17 11:34:54+00:00,"Live #curatortalk with Georg Bak on https://t.co/LCxNxf435C at 6pm BST 

How will we curate #digitalart and #generativeart in #irl post #covid19?

@CADAF_ART @NewArtAcademy @RareArtFest @larvalabs #cryptopunk 
#digitalarts #mocda #curatorial #generativeart #cryptoart https://t.co/Fh1zEsT9vN"
27,2020-04-14 15:40:26+00:00,"THANKS TO ALL THE BUYERS THUS FAR FOR SUPPORTING MY WORK BY THE WAY.  IT REALLY DOES MEAN A LOT AND IT AIN'T EASY BEING A CRYPTO OUTLIER, I COULD BE A SPINELESS PUSSY AND BOW DOWN BUT WHAT FUN WOULD THAT BE ANYWAYS?  TRUE #CRYPTOPUNK."
28,2020-03-13 22:50:08+00:00,"Yo someone buy my mystic axie! It’s a fantastic battler and it’s the cheapest axie with a Hasagi part!
https://t.co/Hzk322DHpy
For a limited time I will also throw in CryptoPunk 4201!!
This deal is a steal!

#nft #eth @AxieInfinity"
29,2020-02-27 04:31:47+00:00,"Just worked with @ArtOnBlockchain to get https://t.co/Xqt7fiRJdn all squared away.  It's looking great now.  If you own a @KnownOrigin_io piece, a @AvaStarsNFT, or a CryptoPunk, check out https://t.co/KMJaniYZZI.  

Stay tuned for more! https://t.co/r2usUAKiZt"
30,2020-02-09 20:31:55+00:00,"This is the @larvalabs account bidding on a zombie Cryptopunk. They're the creators, and they hold almost 1000 punks, yet they're buying more! I love how they're enthusiastic about their own #NFTs. It says a lot. #cryptopunks https://t.co/h12ukwBQfR https://t.co/xXrG1dgjNj"
31,2020-01-22 21:08:39+00:00,"You can't own a human being. 
You can't own the world. 
But you can truly own a CryptoPunk. 
With proof of ownership on the #Ethereum #blockchain.
#CryptoPunks https://t.co/DfqQS9kAMT https://t.co/8HIWEg5Kqk"
32,2020-01-15 10:17:03+00:00,"How should I determine who's eligible for a free team of Axies this week?

Owner of an @ensdomains?
Owner of a Cryptopunk?
Owner of at least 10 Cryptokitties?

What else?"
33,2020-01-01 08:56:55+00:00,"Cryptopunk sales for December.. Pretty decent volume lately!

These guys were the first ever NFT on Ethereum and inspired the creation of the ERC721 token and CryptoKitties.

They were given for free when first launched before Metamask even existed. https://t.co/FeG9Dln12X"
34,2019-12-31 11:20:55+00:00,"2019 market review: @cryptopunksbot reported 1,060 sales (w/out any OTC transfers). This is up 20% from 2018. Highest sale was CryptoPunk #1 for 31 ETH. Bring on 2020! #CryptoPunks #Ethereum #NFT #blockchain
https://t.co/k4yASx5LiF https://t.co/1ANdJplMO2"
35,2019-11-29 09:39:34+00:00,NEW mixed digital media artwork graceful punk by Max Osiris @maxosirisart - Edition 1 of 5 available now ETH 0.22 ($34.01) @knownOrigin_io #Grace Jones #Cryptopunk #yellow #ai #artbreeder https://t.co/KozLm7LFoc https://t.co/wJKT2IBqI8
36,2019-11-23 17:25:06+00:00,"Those of us who have been in the space for a while were not completely shocked at this week's acquisition of @niftygateway by @Gemini, as the Winklevoss twins were previously behind a $5k purchase of a #Cryptopunk. Clearly they were #NFT fans! https://t.co/smzOZWpvsm"
37,2019-10-17 13:57:03+00:00,"Happy B-day to @pents90 , the original CryptoPunk! https://t.co/RjOuf3jLfJ"
38,2019-09-24 22:12:50+00:00,@io9 It's just a movie 🤡
39,2019-09-24 21:11:00+00:00,"The is the only CryptoPunk with 7 attributes, and the last time it changed hands was almost 2 years ago: https://t.co/C1p4M4X2dp"
40,2019-09-16 10:31:02+00:00,.@DesignedInAJ accidentally made a CryptoPunk in our last journey through the https://t.co/c9si0MOWCZ! https://t.co/Y0d20D9Rbn
41,2019-07-13 15:35:39+00:00,"If you're interested in the type and attribute details of each CryptoPunk, we just made an easy to parse data file: https://t.co/rqvP5AJU99"
