Unnamed: 0,Date,Tweets,paper_text_processed,tweet_without_stopwords
2584,2021-05-12 15:55:40+00:00,"the final #cryptopunk auction moment @SuperchiefNFT you can feel the room diappointment with the final number i wa actually hocked ound like chritie’ did u dirty

cc @gmoneyNFT @Kingofmidtown1 @tybenmark 

#nft #nftart #NFTcollectible #nftcollector http://tco/SbIWbk1gtx","the final cryptopunk auction moments @superchiefnft you can feel the rooms disappointment with the final number i was actually shocked sounds like christie’s did us dirty

cc @gmoneynft @kingofmidtown1 @tybenmark 

nft nftart nftcollectibles nftcollector https://tco/sbiwbk1gtx",final cryptopunk auction moment @superchiefnft feel room disappointment final number actually shocked sound like christie’s u dirty cc @gmoneynft @kingofmidtown1 @tybenmark nft nftart nftcollectibles nftcollector https://tco/sbiwbk1gtx
2610,2021-05-12 06:18:29+00:00,"Woke up today with the goal of feeling better Yeterday we launched the CryptoPunk Project with @RTFKTtudio which i literally why I have a lack of leep right - and why RedBull became my bet friend 😂 

Seeing the community enthuiam really help at cheering up","woke up today with the goal of feeling better yesterday we launched the cryptopunk project with @rtfktstudios which is literally why i have a lack of sleep right - and why redbull became my best friends 😂 

seeing the community enthusiasm really helps at cheering up",woke today goal feeling better yesterday launched cryptopunk project @rtfktstudios literally lack sleep right redbull became best friend 😂 seeing community enthusiasm really help cheering
2617,2021-05-12 04:09:26+00:00,“Here’ the Warhol here’ the Banky ahhh and tep right thi way we have an NFT pot it note of thi Alien Cryptopunk here for your viewing” “no that in’t the actual piece it’ actually online” “only $15m any interet Monieur”,“here’s the warhol here’s the banksy ahhh and step right this way we have an nft post it note of this alien cryptopunk here for your viewing” “no that isn’t the actual piece it’s actually online” “only 15m any interest monsieur”,“here’s warhol here’s banksy ahhh step right way nft post note alien cryptopunk viewing” “no isn’t actual piece it’s actually online” “only 15m interest monsieur”
2619,2021-05-12 03:45:55+00:00,"8/ I wonder why omeone might not think a tiny 4"" x 4"" piece tucked randomly in obcure corner i worth anything

You literally had ONE job: Find buyer

If I had no idea what a CryptoPunk wa walking into the gallery beforehand I ure a hell had no clue when I walked out","8/ i wonder why someone might not think a tiny 4"" x 4"" piece tucked randomly in obscure corners is worth anything

you literally had one job: find buyers

if i had no idea what a cryptopunk was walking into the gallery beforehand i sure as hell had no clue when i walked out","8/ wonder someone might think tiny 4"" x 4"" piece tucked randomly obscure corner worth anything literally job: find buyer idea cryptopunk walking gallery beforehand sure hell clue walked"
2632,2021-05-12 01:07:25+00:00,"Chritie cryptopunk ale jut under $17m o baically held the price in ether term at 🔥4200 eth🔥

That wa with buyer rule that I upect were too tringent Working to try and enure it can be more open for my ale","christies cryptopunk sale just under 17m so basically held the price in ether terms at 🔥4200 eth🔥

that was with buyer rules that i suspect were too stringent working to try and ensure it can be more open for my sale",christie cryptopunk 17m basically held price ether term 🔥4200 eth🔥 buyer rule suspect stringent working try ensure open
2664,2021-05-11 22:03:24+00:00,"oh yeah I'm totally a part of @RTFKTtudio X Cryptopunk
ye
completely official™ 
totally original™ 

don't mind me keep crolling http://tco/SqjB6WCnP6","oh yeah i'm totally a part of @rtfktstudios x cryptopunk
yes
completely official™ 
totally original™ 

don't mind me keep scrolling https://tco/sqjb6wcnp6",oh yeah totally part @rtfktstudios x cryptopunk yes completely official™ totally original™ mind keep scrolling https://tco/sqjb6wcnp6
2681,2021-05-11 19:40:53+00:00,"The @ChritieInc @larvalab Cryptopunk auction tart in a few hour

While mot don't hold a punk or can't afford one it' a good idea to get an alt punk

You know the econdary effect i like clockwork Like $DOGE to $SHIB

Only one project really worth it - @LouvrePunk http://tco/HupAnOIZca","the @christiesinc @larvalabs cryptopunk auction starts in a few hours

while most don't hold a punk or can't afford one it's a good idea to get an alt punk

you know the secondary effect is like clockwork like doge to shib

only one project really worth it - @louvrepunks https://tco/hupanoizca",@christiesinc @larvalabs cryptopunk auction start hour hold can't afford good idea get alt know secondary effect like clockwork like doge shib project really worth @louvrepunks https://tco/hupanoizca
2744,2021-05-10 15:48:52+00:00,"14/ The current model i more accurate on the aggregate (marketcap) level than on the individual CryptoPunk level  We ee ome individual CryptoPunk weaknee (eg the model doe not ufficiently penalize ""Floor Punk"") but we think it i directionally correct in aggregate","14/ the current model is more accurate on the aggregate (marketcap) level than on the individual cryptopunk level  we see some individual cryptopunk weaknesses (eg the model does not sufficiently penalize ""floor punks"") but we think it is directionally correct in aggregate","14/ current model accurate aggregate (marketcap) level individual cryptopunk level see individual cryptopunk weakness (eg model sufficiently penalize ""floor punks"") think directionally correct aggregate"
2768,2021-05-10 07:44:48+00:00,CryptoPunk floor ha crept down to 18 ETH ome nice deal to be had Epecially a the Chritie’ auction i tomorrow,cryptopunk floor has crept down to 18 eth some nice deals to be had especially as the christie’s auction is tomorrow,cryptopunk floor crept 18 eth nice deal especially christie’s auction tomorrow
2786,2021-05-09 23:57:57+00:00,Who will be in New York on Tueday Specifically between Time Square and Central Park I need ome Cryptopunk photographer,who will be in new york on tuesday specifically between times square and central park i need some cryptopunk photographer,new york tuesday specifically time square central park need cryptopunk photographer
