date,eth_price,Daily Return,Positive,sentiment_pos,sentiment_neg,sentiment_neu,total_tweets,polarity
2017-11-04,0.09666666666666668,-0.2564102564102564,0,,,,,
2017-11-07,0.9,8.310344827586206,1,,,,,
2017-11-13,0.1,-0.8888888888888888,0,,,,,
2017-11-14,0.2,1.0,1,,,,,
2017-11-15,0.1,-0.5,0,,,,,
2017-11-19,0.1,0.0,1,,,,,
2017-11-20,0.1,0.0,1,,,,,
2017-11-22,0.09888888888888889,-0.011111111111111183,0,,,,,
2017-11-24,0.09,-0.0898876404494382,0,,,,,
2017-11-25,0.3,2.3333333333333335,1,,,,,
2017-11-26,0.15033333333333335,-0.4988888888888888,0,,,,,
2017-11-28,0.13,-0.1352549889135255,0,1.0,0.0,0.0,1.0,1.0
2017-11-29,0.05,-0.6153846153846154,0,0.0,1.0,0.0,1.0,-1.0
2017-11-30,0.1,1.0,1,,,,,
