,date,from,to,eth_price,punk_id,type,gender,skin_tone,attr_count,attributes,skin_tone_color,img_url
12903,8/28/21,715,22,154.99,4282,Human,Male,Light,2,"['Vampire Hair', 'Classic Shades']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4282.png
12292,3/2/21,2292,2708,50,4283,Human,Male,Light,4,"['Cap', 'Shadow Beard', 'Earring', '3D Glasses']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4283.png
17087,10/2/21,2292,6094,155,4284,Human,Male,Light,3,"['Muttonchops', 'Knitted Cap', 'Medical Mask']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4284.png
17088,4/9/22,6094,1044,65,4284,Human,Male,Light,3,"['Muttonchops', 'Knitted Cap', 'Medical Mask']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4284.png
17089,4/14/22,2349,325,71.99,4284,Human,Male,Light,3,"['Muttonchops', 'Knitted Cap', 'Medical Mask']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4284.png
15288,7/7/21,2292,2829,39.5,4285,Human,Male,Light,4,"['Cap', 'Earring', 'Normal Beard', 'VR']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4285.png
17393,1/25/22,2292,5874,81.11,4286,Human,Female,Medium,4,"['Green Eye Shadow', 'Straight Hair Blonde', 'Hot Lipstick', 'Earring']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4286.png
17394,1/31/22,5874,2290,84.84,4286,Human,Female,Medium,4,"['Green Eye Shadow', 'Straight Hair Blonde', 'Hot Lipstick', 'Earring']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4286.png
11903,2/22/21,2292,54,21,4287,Human,Male,Light,2,"['Horned Rim Glasses', 'Do-rag']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4287.png
11904,5/10/22,54,3096,55,4287,Human,Male,Light,2,"['Horned Rim Glasses', 'Do-rag']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4287.png
11905,6/18/22,4282,1512,60.5,4287,Human,Male,Light,2,"['Horned Rim Glasses', 'Do-rag']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4287.png
13801,4/9/21,2292,4619,46,4289,Human,Male,Medium,3,"['Eye Mask', 'Cap Forward', 'Smile']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4289.png
13802,7/31/21,4619,5368,52.5,4289,Human,Male,Medium,3,"['Eye Mask', 'Cap Forward', 'Smile']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4289.png
15869,7/31/21,2292,6018,75,4290,Human,Male,Light,2,"['Handlebars', 'Top Hat']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4290.png
15870,8/6/21,6018,3555,129,4290,Human,Male,Light,2,"['Handlebars', 'Top Hat']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4290.png
12038,2/23/21,2292,5653,23.5,4291,Human,Male,Dark,2,"['Bandana', 'Goat']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk4291.png
16959,8/29/21,2292,2988,139,4292,Human,Male,Dark,2,"['Bandana', 'Eye Mask']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk4292.png
12602,3/11/21,2292,5943,21,4293,Human,Male,Light,3,"['Cigarette', 'Nerd Glasses', 'Mohawk Dark']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4293.png
12603,3/12/21,4257,2676,23,4293,Human,Male,Light,3,"['Cigarette', 'Nerd Glasses', 'Mohawk Dark']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4293.png
12604,7/15/21,2676,6310,24.69,4293,Human,Male,Light,3,"['Cigarette', 'Nerd Glasses', 'Mohawk Dark']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4293.png
12605,9/22/21,2918,3836,100,4293,Human,Male,Light,3,"['Cigarette', 'Nerd Glasses', 'Mohawk Dark']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4293.png
11177,2/17/21,2292,2848,18.05,4294,Human,Female,Dark,3,"['Hot Lipstick', 'Wild Hair', '3D Glasses']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk4294.png
12419,3/7/21,1812,1668,17.49,4295,Human,Male,Light,3,"['Vampire Hair', 'Normal Beard Black', 'Earring']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4295.png
12420,3/14/21,1668,4648,25.88,4295,Human,Male,Light,3,"['Vampire Hair', 'Normal Beard Black', 'Earring']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4295.png
12421,3/25/21,4648,6045,29.4,4295,Human,Male,Light,3,"['Vampire Hair', 'Normal Beard Black', 'Earring']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4295.png
16793,8/27/21,2292,5472,97,4296,Human,Male,Light,4,"['Shadow Beard', 'Do-rag', 'Regular Shades', 'Mole']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4296.png
